Index,Currency,Country,Date,Price level (local),revenue,R t-1,R t-2,R t-3,R t-4,R t-5,DOW,TAX,after_holiday,afterAccidentDays,super,,,,,
Israel TA-125,ILS,Israel,17/01/1994 00:00,254.38,-0.001805054,0,0.000392557,0.001966646,0.011860224,-0.006602617,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,18/01/1994 00:00,251.94,-0.009591949,-0.001805054,0,0.000392557,0.001966646,0.011860224,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,19/01/1994 00:00,252.98,0.004127967,-0.009591949,-0.001805054,0,0.000392557,0.001966646,Wednesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,20/01/1994 00:00,247.58,-0.021345561,0.004127967,-0.009591949,-0.001805054,0,0.000392557,Thursday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,23/01/1994 00:00,247.58,0,-0.021345561,0.004127967,-0.009591949,-0.001805054,0,Sunday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,24/01/1994 00:00,242.58,-0.020195492,0,-0.021345561,0.004127967,-0.009591949,-0.001805054,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,25/01/1994 00:00,246.84,0.017561217,-0.020195492,0,-0.021345561,0.004127967,-0.009591949,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,26/01/1994 00:00,251.64,0.019445795,0.017561217,-0.020195492,0,-0.021345561,0.004127967,Wednesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,27/01/1994 00:00,255.9,0.016928946,0.019445795,0.017561217,-0.020195492,0,-0.021345561,Thursday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,30/01/1994 00:00,255.9,0,0.016928946,0.019445795,0.017561217,-0.020195492,0,Sunday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,31/01/1994 00:00,254.42,-0.005783509,0,0.016928946,0.019445795,0.017561217,-0.020195492,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,01/02/1994 00:00,251.8,-0.010297933,-0.005783509,0,0.016928946,0.019445795,0.017561217,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,02/02/1994 00:00,249.93,-0.007426529,-0.010297933,-0.005783509,0,0.016928946,0.019445795,Wednesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,03/02/1994 00:00,253.19,0.013043652,-0.007426529,-0.010297933,-0.005783509,0,0.016928946,Thursday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,06/02/1994 00:00,253.19,0,0.013043652,-0.007426529,-0.010297933,-0.005783509,0,Sunday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,07/02/1994 00:00,242.77,-0.041154864,0,0.013043652,-0.007426529,-0.010297933,-0.005783509,Monday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,08/02/1994 00:00,244.42,0.006796556,-0.041154864,0,0.013043652,-0.007426529,-0.010297933,Tuesday,0,0,0,0,,,,,
Israel TA-125,ILS,Israel,09/02/1994 00:00,235.87,-0.034980771,0.006796556,-0.041154864,0,0.013043652,-0.007426529,Wednesday,0,0,0,0,,,,,
