"Date","Price","Open","High","Low","Vol.","Change %"
"04/26/2012","8,123.1","8,051.1","8,132.1","8,041.7","","0.65%"
"04/25/2012","8,070.8","8,037.2","8,072.5","8,029.0","","1.04%"
"04/24/2012","7,988.0","7,952.0","8,006.7","7,949.7","","0.60%"
"04/23/2012","7,940.7","7,936.4","7,945.4","7,877.7","","-1.06%"
"04/20/2012","8,025.5","8,030.2","8,063.9","8,023.3","","0.37%"
"04/19/2012","7,995.9","8,035.5","8,063.1","7,957.2","","-0.43%"
"04/18/2012","8,030.4","8,029.1","8,058.1","8,013.9","","-0.42%"
"04/17/2012","8,064.1","8,000.8","8,080.6","7,992.4","","1.44%"
"04/16/2012","7,949.6","7,970.3","7,994.3","7,916.4","","0.23%"
"04/13/2012","7,931.1","8,013.0","8,013.0","7,929.9","","-1.35%"
"04/12/2012","8,040.0","7,927.6","8,043.8","7,925.4","","1.61%"
"04/11/2012","7,912.9","7,917.2","7,946.5","7,903.8","","0.91%"
"04/10/2012","7,841.9","7,970.0","7,988.3","7,835.3","","-1.88%"
"04/09/2012","7,992.3","7,998.8","8,019.6","7,969.3","","-1.10%"
"04/05/2012","8,081.4","8,072.9","8,114.3","8,058.1","","-0.31%"
"04/04/2012","8,106.8","8,135.2","8,138.5","8,078.8","","-1.34%"
"04/03/2012","8,216.5","8,264.2","8,264.6","8,168.9","","-0.78%"
"04/02/2012","8,280.8","8,206.9","8,305.7","8,182.1","","0.90%"
"03/30/2012","8,206.9","8,201.3","8,221.0","8,161.0","","0.50%"
"03/29/2012","8,166.4","8,137.9","8,171.9","8,083.1","","-0.27%"
"03/28/2012","8,188.4","8,234.8","8,239.9","8,138.2","","-0.62%"
"03/27/2012","8,239.4","8,289.6","8,296.7","8,237.5","","-0.60%"
"03/26/2012","8,288.8","8,228.2","8,288.8","8,228.2","","1.33%"
"03/23/2012","8,180.1","8,139.3","8,188.0","8,102.1","","0.48%"
"03/22/2012","8,141.3","8,154.2","8,161.5","8,115.3","","-0.95%"
"03/21/2012","8,219.3","8,241.6","8,246.9","8,199.0","","-0.27%"
"03/20/2012","8,241.3","8,247.1","8,252.0","8,198.0","","-0.68%"
"03/19/2012","8,297.5","8,262.3","8,327.7","8,257.7","","0.33%"
"03/16/2012","8,270.4","8,265.4","8,281.4","8,256.1","","0.29%"
"03/15/2012","8,246.7","8,194.8","8,246.7","8,176.8","","0.75%"
"03/14/2012","8,185.3","8,223.8","8,235.3","8,163.7","","-0.60%"
"03/13/2012","8,234.5","8,086.3","8,235.0","8,086.3","","1.83%"
"03/12/2012","8,086.3","8,102.1","8,105.2","8,062.1","","-0.20%"
"03/09/2012","8,102.1","8,087.9","8,133.6","8,076.0","","0.24%"
"03/08/2012","8,082.4","8,038.8","8,097.6","8,023.3","","1.29%"
"03/07/2012","7,979.8","7,936.4","7,992.5","7,925.7","","0.75%"
"03/06/2012","7,920.1","8,000.4","8,000.4","7,898.6","","-2.12%"
"03/05/2012","8,091.3","8,109.5","8,109.5","8,057.5","","-0.42%"
"03/02/2012","8,125.2","8,157.7","8,161.4","8,105.6","","-0.61%"
