Date,Price,Open,High,Low,Change
06/08/2012,"7,964.10","7,958.40","7,997.40","7,958.40",0.31%
03/08/2012,"7,939.60","7,848.30","7,960.10","7,848.30",2.24%
02/08/2012,"7,765.60","7,791.50","7,823.90","7,710.80",-0.96%
01/08/2012,"7,840.80","7,891.30","7,898.10","7,839.70",-0.29%
31/07/2012,"7,863.90","7,894.70","7,917.40","7,863.20",-0.60%
30/07/2012,"7,911.10","7,898.00","7,939.10","7,885.90",-0.01%
27/07/2012,"7,912.20","7,793.00","7,933.00","7,793.00",2.03%
26/07/2012,"7,754.50","7,691.80","7,770.20","7,691.80",1.93%
25/07/2012,"7,607.60","7,618.10","7,639.30","7,569.00",0.22%
24/07/2012,"7,590.60","7,667.10","7,668.80","7,538.20",-1.04%
23/07/2012,"7,670.50","7,670.40","7,684.50","7,596.70",-1.15%
20/07/2012,"7,759.60","7,795.40","7,795.40","7,752.20",-1.15%
19/07/2012,"7,849.80","7,843.50","7,871.10","7,821.80",0.24%
18/07/2012,"7,831.10","7,768.50","7,846.20","7,760.10",0.47%
17/07/2012,"7,794.80","7,763.10","7,799.70","7,690.50",0.67%
16/07/2012,"7,743.00","7,741.60","7,759.50","7,705.70",-0.20%
13/07/2012,"7,758.70","7,654.00","7,764.70","7,654.00",1.57%
12/07/2012,"7,638.60","7,633.60","7,665.20","7,578.60",-0.61%
11/07/2012,"7,685.40","7,667.70","7,704.80","7,643.90",0.23%
10/07/2012,"7,667.60","7,753.70","7,786.50","7,638.30",-0.89%
09/07/2012,"7,736.30","7,742.00","7,747.10","7,700.00",-0.26%
06/07/2012,"7,756.60","7,768.60","7,768.60","7,723.00",-1.04%
05/07/2012,"7,837.80","7,855.10","7,869.20","7,809.40",-0.81%
03/07/2012,"7,901.70","7,838.70","7,905.80","7,834.80",0.89%
02/07/2012,"7,832.20","7,810.80","7,832.20","7,768.40",0.39%
29/06/2012,"7,801.80","7,730.00","7,801.80","7,730.00",2.69%
28/06/2012,"7,597.50","7,544.20","7,599.00","7,500.00",-0.01%
27/06/2012,"7,598.10","7,546.80","7,610.40","7,539.00",0.94%
26/06/2012,"7,527.10","7,502.50","7,548.50","7,464.20",0.47%
25/06/2012,"7,491.90","7,540.20","7,540.20","7,465.70",-1.64%
22/06/2012,"7,616.60","7,609.90","7,632.90","7,578.70",0.67%
21/06/2012,"7,566.10","7,754.30","7,765.70","7,560.50",-2.47%
20/06/2012,"7,757.90","7,770.30","7,800.60","7,706.10",-0.11%
19/06/2012,"7,766.30","7,704.10","7,797.50","7,703.60",1.36%
18/06/2012,"7,662.30","7,630.80","7,680.50","7,606.80",-0.03%
15/06/2012,"7,664.30","7,613.00","7,666.00","7,604.20",1.07%
14/06/2012,"7,582.80","7,515.90","7,608.30","7,499.80",1.02%
13/06/2012,"7,506.40","7,533.60","7,577.70","7,483.40",-0.68%
12/06/2012,"7,557.80","7,459.30","7,558.70","7,456.90",1.32%
11/06/2012,"7,459.30","7,609.30","7,623.90","7,454.20",-1.25%
08/06/2012,"7,553.80","7,480.00","7,554.60","7,451.40",0.45%
07/06/2012,"7,519.80","7,584.10","7,614.90","7,509.20",0.03%
06/06/2012,"7,517.50","7,389.90","7,517.50","7,389.90",2.44%
05/06/2012,"7,338.60","7,270.40","7,347.70","7,264.80",0.73%
04/06/2012,"7,285.50","7,302.80","7,320.60","7,222.90",-0.09%
01/06/2012,"7,292.20","7,368.40","7,368.40","7,286.80",-2.30%
31/05/2012,"7,464.00","7,477.70","7,512.50","7,387.40",-0.10%
30/05/2012,"7,471.40","7,543.40","7,543.40","7,463.70",-1.89%
29/05/2012,"7,615.00","7,583.40","7,634.60","7,565.90",1.07%
25/05/2012,"7,534.30","7,543.30","7,567.40","7,514.40",-0.24%
24/05/2012,"7,552.40","7,558.80","7,573.40","7,487.70",0.15%
23/05/2012,"7,540.90","7,492.90","7,547.10","7,404.90",-0.02%
22/05/2012,"7,542.60","7,555.30","7,616.50","7,507.00",-0.01%
21/05/2012,"7,543.00","7,443.90","7,543.60","7,438.70",1.55%
18/05/2012,"7,427.70","7,503.80","7,521.10","7,409.00",-0.70%
17/05/2012,"7,480.40","7,588.20","7,595.70","7,480.40",-1.48%
16/05/2012,"7,592.80","7,656.80","7,701.70","7,592.80",-0.56%
15/05/2012,"7,635.80","7,696.00","7,714.80","7,621.60",-0.90%
14/05/2012,"7,705.40","7,739.40","7,754.30","7,699.60",-1.41%
11/05/2012,"7,815.90","7,799.60","7,886.60","7,787.60",-0.47%
10/05/2012,"7,852.80","7,871.80","7,902.20","7,838.20",0.42%
09/05/2012,"7,820.30","7,802.50","7,871.60","7,749.40",-0.85%
08/05/2012,"7,887.30","7,901.10","7,901.10","7,800.90",-0.77%
07/05/2012,"7,948.80","7,907.60","7,964.20","7,905.20",0.20%
04/05/2012,"7,933.30","8,030.00","8,030.00","7,921.00",-1.45%
03/05/2012,"8,049.90","8,123.00","8,126.30","8,035.10",-0.92%
02/05/2012,"8,124.30","8,164.00","8,164.00","8,074.60",-0.49%
01/05/2012,"8,164.00","8,115.10","8,211.60","8,104.80",0.55%
30/04/2012,"8,119.10","8,132.90","8,134.00","8,093.90",-0.40%
27/04/2012,"8,151.90","8,143.50","8,164.10","8,107.70",0.35%
26/04/2012,"8,123.10","8,051.10","8,132.10","8,041.70",0.65%
25/04/2012,"8,070.80","8,037.20","8,072.50","8,029.00",1.04%
24/04/2012,"7,988.00","7,952.00","8,006.70","7,949.70",0.60%
23/04/2012,"7,940.70","7,936.40","7,945.40","7,877.70",-1.06%
20/04/2012,"8,025.50","8,030.20","8,063.90","8,023.30",0.37%
19/04/2012,"7,995.90","8,035.50","8,063.10","7,957.20",-0.43%
18/04/2012,"8,030.40","8,029.10","8,058.10","8,013.90",-0.42%
17/04/2012,"8,064.10","8,000.80","8,080.60","7,992.40",1.44%
16/04/2012,"7,949.60","7,970.30","7,994.30","7,916.40",0.23%
13/04/2012,"7,931.10","8,013.00","8,013.00","7,929.90",-1.35%
12/04/2012,"8,040.00","7,927.60","8,043.80","7,925.40",1.61%
11/04/2012,"7,912.90","7,917.20","7,946.50","7,903.80",0.91%
10/04/2012,"7,841.90","7,970.00","7,988.30","7,835.30",-1.88%
09/04/2012,"7,992.30","7,998.80","8,019.60","7,969.30",-1.10%
05/04/2012,"8,081.40","8,072.90","8,114.30","8,058.10",-0.31%
04/04/2012,"8,106.80","8,135.20","8,138.50","8,078.80",-1.34%
03/04/2012,"8,216.50","8,264.20","8,264.60","8,168.90",-0.78%
02/04/2012,"8,280.80","8,206.90","8,305.70","8,182.10",0.90%
30/03/2012,"8,206.90","8,201.30","8,221.00","8,161.00",0.50%
29/03/2012,"8,166.40","8,137.90","8,171.90","8,083.10",-0.27%
28/03/2012,"8,188.40","8,234.80","8,239.90","8,138.20",-0.62%
27/03/2012,"8,239.40","8,289.60","8,296.70","8,237.50",-0.60%
26/03/2012,"8,288.80","8,228.20","8,288.80","8,228.20",1.33%
23/03/2012,"8,180.10","8,139.30","8,188.00","8,102.10",0.48%
22/03/2012,"8,141.30","8,154.20","8,161.50","8,115.30",-0.95%
21/03/2012,"8,219.30","8,241.60","8,246.90","8,199.00",-0.27%
20/03/2012,"8,241.30","8,247.10","8,252.00","8,198.00",-0.68%
19/03/2012,"8,297.50","8,262.30","8,327.70","8,257.70",0.33%
16/03/2012,"8,270.40","8,265.40","8,281.40","8,256.10",0.29%
15/03/2012,"8,246.70","8,194.80","8,246.70","8,176.80",0.75%
14/03/2012,"8,185.30","8,223.80","8,235.30","8,163.70",-0.60%
13/03/2012,"8,234.50","8,086.30","8,235.00","8,086.30",1.83%
12/03/2012,"8,086.30","8,102.10","8,105.20","8,062.10",-0.20%
09/03/2012,"8,102.10","8,087.90","8,133.60","8,076.00",0.24%
08/03/2012,"8,082.40","8,038.80","8,097.60","8,023.30",1.29%
07/03/2012,"7,979.80","7,936.40","7,992.50","7,925.70",0.75%
06/03/2012,"7,920.10","8,000.40","8,000.40","7,898.60",-2.12%
05/03/2012,"8,091.30","8,109.50","8,109.50","8,057.50",-0.42%
02/03/2012,"8,125.20","8,157.70","8,161.40","8,105.60",-0.61%
